name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
Sugar,kilogram,,,440.5,446.5,144.5,Ecological Scarcity total 2021,UBP
Sweets and chewing gum,kilogram,,,2887,3137,8764,Ecological Scarcity total 2021,UBP
Syrups,litre,,,2.017e+04,2.192e+04,6.126e+04,Ecological Scarcity total 2021,UBP
Taxi,CHF,,,573.5,573.5,0,Ecological Scarcity total 2021,UBP
"Tea, herbal tea and surrogates",kilogram,,,8.416e+04,8.505e+04,2.846e+04,Ecological Scarcity total 2021,UBP
Theatre and concerts,CHF,,,363.1,363.1,1.137e-13,Ecological Scarcity total 2021,UBP
"Tickets and season tickets for cable cars, including ski lifts",CHF,,,573.5,573.5,0,Ecological Scarcity total 2021,UBP
Tinned meat and other meat-based preparations,kilogram,,,4.715e+05,2.93e+05,5.987e+06,Ecological Scarcity total 2021,UBP
Tinned or processed vegetables and mushrooms,kilogram,,,2538,-1.396e+04,7.333e+05,Ecological Scarcity total 2021,UBP
Tobacco,CHF,,,1176,1176,2.274e-13,Ecological Scarcity total 2021,UBP
Tomatoes,kilogram,,,1469,1572,5580,Ecological Scarcity total 2021,UBP
Tools and equipment without engines for house and garden,CHF,,,1095,1095,0,Ecological Scarcity total 2021,UBP
"Train, tickets and travelcards",person kilometer,,,40.68,41.52,65.93,Ecological Scarcity total 2021,UBP
"Tram, tickets and travelcards",person kilometer,,,134.9,135.3,98.37,Ecological Scarcity total 2021,UBP
Veal,kilogram,,,4.715e+05,2.93e+05,5.987e+06,Ecological Scarcity total 2021,UBP
Vegetable juices,litre,,,1836,1965,6975,Ecological Scarcity total 2021,UBP
Vegetarian soy products,kilogram,,,5513,5877,1.172e+04,Ecological Scarcity total 2021,UBP
Veterinary and other services for pets,CHF,,,624.3,624.3,0,Ecological Scarcity total 2021,UBP
Wastewater collection fees of principal residence,cubic meter,,,2079,2061,618,Ecological Scarcity total 2021,UBP
Water supply fees of principal residence,cubic meter,,,319.9,341.6,676.7,Ecological Scarcity total 2021,UBP
Wheat flour,kilogram,,,5741,5838,2682,Ecological Scarcity total 2021,UBP
Whole milk,litre,,,-1797,-3.855e+04,1.463e+06,Ecological Scarcity total 2021,UBP
Wine,litre,,,2148,2524,8753,Ecological Scarcity total 2021,UBP
Writing and drawing materials,CHF,,,2061,2061,4.547e-13,Ecological Scarcity total 2021,UBP
Yoghurt,kilogram,,,-7.28e+04,-6.942e+04,2.026e+06,Ecological Scarcity total 2021,UBP
ch hh average,,2.24,9938.0,8.059e+05,4.019e+06,1.552e+08,Ecological Scarcity total 2021,UBP
household cluster 1,,1.3815153143471253,3445.7627257443332,1.764e+05,1.178e+06,9.198e+07,Ecological Scarcity total 2021,UBP
household cluster 2,,1.767476450173525,6126.032578671344,4.6e+06,2.765e+06,1.072e+08,Ecological Scarcity total 2021,UBP
household cluster 3,,2.2853670393777348,8561.600619938796,5.73e+05,1.173e+06,1.418e+08,Ecological Scarcity total 2021,UBP
household cluster 4,,2.727672035139092,11639.350226933284,5.257e+06,5.542e+06,1.63e+08,Ecological Scarcity total 2021,UBP
household cluster 5,,2.973461321287408,17559.975808472052,7.348e+06,2.51e+06,1.752e+08,Ecological Scarcity total 2021,UBP
household cluster 6,,3.115,38040.343263775,6.158e+06,1.07e+07,1.775e+08,Ecological Scarcity total 2021,UBP
household cluster A,,2.300251256281407,10558.37274868448,3.992e+06,2.531e+06,1.467e+08,Ecological Scarcity total 2021,UBP
household cluster A1,,1.3398058252427185,3410.0777399485155,1.539e+06,1.048e+05,9.286e+07,Ecological Scarcity total 2021,UBP
household cluster A2,,1.7542662116040955,6144.009579684301,1.773e+06,-1.102e+06,1.279e+08,Ecological Scarcity total 2021,UBP
household cluster A3,,2.2056962025316458,8557.53603574019,4.696e+06,3.817e+06,1.381e+08,Ecological Scarcity total 2021,UBP
household cluster A4,,2.8488745980707395,11593.741746335048,4.937e+06,6.27e+06,1.651e+08,Ecological Scarcity total 2021,UBP
household cluster A5,,3.1707988980716255,21061.117126749312,9.113e+06,3.776e+06,1.643e+08,Ecological Scarcity total 2021,UBP
household cluster Aa,,1.0,6953.167191949199,3.51e+06,2.115e+06,7.133e+07,Ecological Scarcity total 2021,UBP
household cluster Ab,,1.0,5227.947598252331,1.909e+06,8.663e+05,7.661e+07,Ecological Scarcity total 2021,UBP
