name,product_unit,houshold_size,gross_income,mean,median,std,method,unit
Potatoes-based products and other tuber vegetables,kilogram,,,1.204,1.184,0.1858,GWP100 IPCC 2021,kg CO2-eq
"Poultry, fresh or frozen",kilogram,,,3.229,3.18,0.528,GWP100 IPCC 2021,kg CO2-eq
"Poultry, grilled or smoked",kilogram,,,2.954,2.916,0.3993,GWP100 IPCC 2021,kg CO2-eq
Premiums for life insurance,CHF,,,0.05309,0.05309,0,GWP100 IPCC 2021,kg CO2-eq
Preserved fruits,kilogram,,,0.5897,0.5796,0.3368,GWP100 IPCC 2021,kg CO2-eq
Printers (incl. multifunctional printers),unit,,,18.06,17.98,1.477,GWP100 IPCC 2021,kg CO2-eq
Processed eggs,kilogram,,,0,0,0,GWP100 IPCC 2021,kg CO2-eq
Purchases and rent of telephones and telefax machines,CHF,,,0.4755,0.4755,1.11e-16,GWP100 IPCC 2021,kg CO2-eq
Pure and ground coffee,kilogram,,,11.08,10.93,1.29,GWP100 IPCC 2021,kg CO2-eq
Ready-made foods,kilogram,,,6.615,6.542,0.6133,GWP100 IPCC 2021,kg CO2-eq
"Refrigerators, dishwashers, washing machines and dryers",CHF,,,0.1905,0.1905,0,GWP100 IPCC 2021,kg CO2-eq
Refuse collection costs at principal residence,number of waste bags,,,2.461,2.432,0.4693,GWP100 IPCC 2021,kg CO2-eq
Regular maintenance costs of principal residence,CHF,,,0.2018,0.2018,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Rent for equipment and DVDs and CDs,CHF,,,0.1127,0.1127,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Rent of sports and recreational goods,CHF,,,0.1127,0.1127,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Repair and hire of footwear,CHF,,,0.1127,0.1127,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Repair of household appliances,CHF,,,0.1127,0.1127,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
"Restaurants, cafés and bars",CHF,,,0.174,0.174,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Rice,kilogram,,,2.686,2.658,0.3739,GWP100 IPCC 2021,kg CO2-eq
Sandwich,kilogram,,,4.669,4.544,0.9734,GWP100 IPCC 2021,kg CO2-eq
"Sauces, seasonings and condiments",kilogram,,,2.472,2.467,0.4603,GWP100 IPCC 2021,kg CO2-eq
"Sausages, cold meat and pies",kilogram,,,11.84,11.72,1.115,GWP100 IPCC 2021,kg CO2-eq
"Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate",kilogram,,,4.905,4.826,0.6645,GWP100 IPCC 2021,kg CO2-eq
Self-service restaurants and take-aways,CHF,,,0.174,0.174,5.551e-17,GWP100 IPCC 2021,kg CO2-eq
Services of hairdressers and beauty salons,CHF,,,0.08012,0.08012,0,GWP100 IPCC 2021,kg CO2-eq
Services of internet providers,CHF,,,0.09453,0.09453,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
"Services of sports and recreational facilities, without ski lifts",CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Sewing and knitting products,CHF,,,0.1905,0.1905,0,GWP100 IPCC 2021,kg CO2-eq
Sheep and Goat meat,kilogram,,,11.38,11.22,1.368,GWP100 IPCC 2021,kg CO2-eq
Skimmed and low-fat milk,litre,,,1.232,1.198,0.2802,GWP100 IPCC 2021,kg CO2-eq
Small electric household appliances,CHF,,,0.1905,0.1905,0,GWP100 IPCC 2021,kg CO2-eq
"Small trout, 250-350g, conventional, at farm gate",kilogram,,,0.7912,0.7821,0.1504,GWP100 IPCC 2021,kg CO2-eq
Soaps and foam baths,kilogram,,,1.02,0.98,0.3447,GWP100 IPCC 2021,kg CO2-eq
Social protection services,CHF,,,0.1439,0.1439,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
"Sound carriers, data carriers, videotapes and films",CHF,,,0.1507,0.1507,0,GWP100 IPCC 2021,kg CO2-eq
Soups and bouillons,kilogram,,,1.448,1.445,0.1879,GWP100 IPCC 2021,kg CO2-eq
Spirits,litre,,,0.7527,0.7499,0.05723,GWP100 IPCC 2021,kg CO2-eq
Sports and crafting classes,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Stakes,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Stem vegetables,kilogram,,,0.336,0.419,3.216,GWP100 IPCC 2021,kg CO2-eq
Stone fruit,kilogram,,,0.3001,0.3031,0.1199,GWP100 IPCC 2021,kg CO2-eq
Subscriptions to cable television,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Subscriptions to private television,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
Sugar,kilogram,,,0.05795,0.05711,0.007947,GWP100 IPCC 2021,kg CO2-eq
Sweets and chewing gum,kilogram,,,0.6677,0.6597,0.09542,GWP100 IPCC 2021,kg CO2-eq
Syrups,litre,,,4.662,4.607,0.667,GWP100 IPCC 2021,kg CO2-eq
Taxi,CHF,,,0.1737,0.1737,0,GWP100 IPCC 2021,kg CO2-eq
"Tea, herbal tea and surrogates",kilogram,,,3.443,3.425,0.5929,GWP100 IPCC 2021,kg CO2-eq
Theatre and concerts,CHF,,,0.1075,0.1075,1.388e-17,GWP100 IPCC 2021,kg CO2-eq
"Tickets and season tickets for cable cars, including ski lifts",CHF,,,0.1737,0.1737,0,GWP100 IPCC 2021,kg CO2-eq
Tinned meat and other meat-based preparations,kilogram,,,25.81,25.73,1.43,GWP100 IPCC 2021,kg CO2-eq
Tinned or processed vegetables and mushrooms,kilogram,,,2.329,2.345,0.454,GWP100 IPCC 2021,kg CO2-eq
Tobacco,CHF,,,0.2237,0.2237,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Tomatoes,kilogram,,,0.4797,0.4757,0.3218,GWP100 IPCC 2021,kg CO2-eq
Tools and equipment without engines for house and garden,CHF,,,0.2116,0.2116,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
"Train, tickets and travelcards",person kilometer,,,0.008829,0.008673,0.002142,GWP100 IPCC 2021,kg CO2-eq
"Tram, tickets and travelcards",person kilometer,,,0.06231,0.06187,0.008723,GWP100 IPCC 2021,kg CO2-eq
Veal,kilogram,,,25.81,25.73,1.43,GWP100 IPCC 2021,kg CO2-eq
Vegetable juices,litre,,,0.5999,0.5948,0.4022,GWP100 IPCC 2021,kg CO2-eq
Vegetarian soy products,kilogram,,,1.312,1.306,0.1103,GWP100 IPCC 2021,kg CO2-eq
Veterinary and other services for pets,CHF,,,0.1439,0.1439,2.776e-17,GWP100 IPCC 2021,kg CO2-eq
Wastewater collection fees of principal residence,cubic meter,,,0.1928,0.1867,0.0345,GWP100 IPCC 2021,kg CO2-eq
Water supply fees of principal residence,cubic meter,,,0.09058,0.08967,0.00955,GWP100 IPCC 2021,kg CO2-eq
Wheat flour,kilogram,,,0.5355,0.5329,0.03889,GWP100 IPCC 2021,kg CO2-eq
Whole milk,litre,,,1.868,1.863,0.2357,GWP100 IPCC 2021,kg CO2-eq
Wine,litre,,,0.4941,0.4989,1.11,GWP100 IPCC 2021,kg CO2-eq
Writing and drawing materials,CHF,,,0.4556,0.4556,0,GWP100 IPCC 2021,kg CO2-eq
Yoghurt,kilogram,,,2.168,2.148,0.3076,GWP100 IPCC 2021,kg CO2-eq
ch hh average,,2.24,9938.0,1923,1792,589,GWP100 IPCC 2021,kg CO2-eq
household cluster 1,,1.3815153143471253,3445.7627257443332,1142,1071,307.5,GWP100 IPCC 2021,kg CO2-eq
household cluster 2,,1.767476450173525,6126.032578671344,1495,1399,413.1,GWP100 IPCC 2021,kg CO2-eq
household cluster 3,,2.2853670393777348,8561.600619938796,1863,1744,560.2,GWP100 IPCC 2021,kg CO2-eq
household cluster 4,,2.727672035139092,11639.350226933284,2193,2070,577.2,GWP100 IPCC 2021,kg CO2-eq
household cluster 5,,2.973461321287408,17559.975808472052,2670,2555,624.4,GWP100 IPCC 2021,kg CO2-eq
household cluster 6,,3.115,38040.343263775,3415,3264,849.5,GWP100 IPCC 2021,kg CO2-eq
household cluster A,,2.300251256281407,10558.37274868448,1913,1803,500.9,GWP100 IPCC 2021,kg CO2-eq
household cluster A1,,1.3398058252427185,3410.0777399485155,1107,1042,283.6,GWP100 IPCC 2021,kg CO2-eq
household cluster A2,,1.7542662116040955,6144.009579684301,1467,1372,384.1,GWP100 IPCC 2021,kg CO2-eq
household cluster A3,,2.2056962025316458,8557.53603574019,1805,1714,442.7,GWP100 IPCC 2021,kg CO2-eq
